Year,Tsu,Location Name,Latitude,Longitude,Focal Depth (km),Mag
1674,Terjadi Tsunami,"INDONESIA:  AMBON ISLAND, SERAM ISLAND",-3.75,127.75,40,6.8
1815,Terjadi Tsunami,INDONESIA:  BALI,-8,115,150,7
1818,Terjadi Tsunami,INDONESIA:  SUMBAWA ISLAND:  BIMA,-7,117,600,8.5
1820,Terjadi Tsunami,INDONESIA:  SULAWESI:  MAKASAR,-7,119,80,7.5
1823,Terjadi Tsunami,INDONESIA:  JAVA,-6.5,108.5,150,6.8
1833,Terjadi Tsunami,INDONESIA:  SUMATRA:  BENGKULU,-2.5,100.5,75,8.3
1837,Terjadi Tsunami,INDONESIA:  BANDA ATJEH,5.5,96,100,7.3
1840,Terjadi Tsunami,INDONESIA:  JAVA:  PURWOREJO,-8,110.5,150,7
1843,Terjadi Tsunami,SW. SUMATRA,1.5,98,70,7.3
1852,Terjadi Tsunami,INDONESIA:  JAVA: DJAKARTA; SUMATRA: TELUKBETUNG,-6.5,105.5,150,6.5
1852,Terjadi Tsunami,INDONESIA:  MALUKU:  BANDANAIRA,-5.25,129.75,100,8.3
1857,Terjadi Tsunami,"INDONESIA:  TIMOR ISLAND::  DILHI, GERA",-8,115.5,50,7
1861,Terjadi Tsunami,"INDONESIA:  LAGUNDI, SIMUK, TELLO I",-1,97.5,70,8.5
1861,Terjadi Tsunami,INDONESIA:  SW. SUMATRA,0.009,98,20,7
1861,Terjadi Tsunami,INDONESIA:  SW. SUMATRA,1,97.5,70,7
1876,Terjadi Tsunami,"INDONESIA:  BURU ISLAND, CERAM SEA",-3,127.25,50,6.8
1889,Terjadi Tsunami,INDONESIA:  N. MOLUCCAS ISLANDS,1,126.25,70,8
1891,Terjadi Tsunami,TIMOR SEA,-9,124,80,7
1892,Terjadi Tsunami,INDONESIA: SERAM ISLAND,-3,127.75,70,7
1896,Terjadi Tsunami,"INDONESIA:  SW. SUMATRA, JAVA",-3.5,102.5,130,6.8
1897,Terjadi Tsunami,INDONESIA:  KAJUADI ISLAND,-6.8,120.8,15,5.5
