Year,Tsu,Location Name,Latitude,Longitude
1629,Terjadi Tsunami,INDONESIA:  BANDA SEA,-4.6,129.9
1630,Terjadi Tsunami,INDONESIA:  BANDA SEA,-4.6,129.9
1646,Terjadi Tsunami,INDONESIA: MALUKU: MAKJAN (MAKLAN),0.32,127.4
1657,Terjadi Tsunami,INDONESIA:  BANDA SEA,-3,128
1659,Terjadi Tsunami,INDONESIA:  BANDA SEA,-6.92,129.125
1673,Terjadi Tsunami,INDONESIA:  N. MOLUCCAS ISLANDS,1.375,127.52
1673,Terjadi Tsunami,INDONESIA:  BANDA SEA,-3,128
1673,Terjadi Tsunami,INDONESIA:  N. MOLUCCAS ISLANDS,1.375,127.52
1674,Terjadi Tsunami,"INDONESIA:  AMBON ISLAND, SERAM ISLAND",-3.75,127.75
1674,Terjadi Tsunami,INDONESIA:  BANDA SEA,-3.7,128.2
1708,Terjadi Tsunami,INDONESIA:  BANDA SEA,-3.69,128.15
1710,Terjadi Tsunami,INDONESIA:  BANDANEIRA,-4.53,129.9
1711,Terjadi Tsunami,INDONESIA:  BANDA SEA,-4,129
1722,Terjadi Tsunami,INDONESIA:  JAVA: DJAKARTA (JAKARTA),-6.174,106.829
1754,Terjadi Tsunami,INDONESIA:  AMBON ISLAND,-3.5,128.5
1754,Terjadi Tsunami,INDONESIA:  BANDA SEA,-3.5,128.5
1757,Terjadi Tsunami,INDONESIA:  JAKARTA,-6,107
1763,Terjadi Tsunami,INDONESIA:  BANDANEIRA,-6,130
1770,Terjadi Tsunami,INDONESIA:  SUMATRA:,-5,102
1775,Terjadi Tsunami,INDONESIA:  BANDA SEA,-3.7,128.2
1797,Terjadi Tsunami,SW. SUMATRA,0.001,99
1802,Terjadi Tsunami,INDONESIA:  BANDA SEA,-3.7,128.2
1814,Terjadi Tsunami,"INDONESIA:  TIMOR ISLAND, KUPANG, KISSAR ISLAND",-10.217,123.633
1815,Terjadi Tsunami,INDONESIA:  AMBON ISLAND,-3.7,128.4
1815,Terjadi Tsunami,INDONESIA:  BALI,-8,115
1816,Terjadi Tsunami,INDONESIA; MALAYSIA:  PENANG ISLAND,5,96.5
1818,Terjadi Tsunami,INDONESIA:  SUMATRA:  BENGKULU,-4,101.5
1818,Terjadi Tsunami,INDONESIA:  SUMBAWA ISLAND:  BIMA,-7,117
1820,Terjadi Tsunami,INDONESIA:  SULAWESI:  MAKASAR,-7,119
1823,Terjadi Tsunami,INDONESIA:  JAVA,-6.5,108.5
1828,Terjadi Tsunami,INDONESIA:  SULAWESI,-7,119
1833,Terjadi Tsunami,INDONESIA:  SUMATRA:  BENGKULU,-2.5,100.5
1834,Tidak Terjadi Tsunami,"INDONESIA:  JAVA:  BOGOR, CINAJUR",-6.7,107
1835,Tidak Terjadi Tsunami,INDONESIA:  MALUKU:  AMBON,-3.7,128.2
1836,Terjadi Tsunami,FLORES SEA,-8.3,118.7
1836,Terjadi Tsunami,FLORES SEA,-8.3,118.7
1837,Terjadi Tsunami,INDONESIA:  BANDA ATJEH,5.5,96
1837,Tidak Terjadi Tsunami,INDONESIA:  SUMBAWA ISLAND:  BIMA,-8.5,118.5
